trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,start_scade_key_resp.started,start_scade_key_resp.keys,start_scade_key_resp.rt,corss_image.started,txt.started,start_smoth_keybrd.started,start_smoth_keybrd.keys,start_smoth_keybrd.rt,corss_image.stopped,tr_smooth_key_smooth_resp_.started,tr_smooth_key_smooth_resp_.keys,tr_smooth_key_smooth_resp_.rt,start_circleM.started,start_circle_keyboard.started,start_circle_keyboard.keys,start_circle_keyboard.rt,cross_img_circle.started,cross_img_circle.stopped,tr_circ_resp_keyboard.started,tr_circ_resp_keyboard.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.61572299990803,7.61572299990803,space,91.14486670005135,,,,,,,,,,,,,,,,,,268699,001,2023-02-23_11h25.13.684,sample,2022.2.5,59.95689098820169,
0,0,0,0,,,,,98.78109219996259,,,,,,,,,,,,,,,,,268699,001,2023-02-23_11h25.13.684,sample,2022.2.5,59.95689098820169,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,268699,001,2023-02-23_11h25.13.684,sample,2022.2.5,59.95689098820169,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,268699,001,2023-02-23_11h25.13.684,sample,2022.2.5,59.95689098820169,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,268699,001,2023-02-23_11h25.13.684,sample,2022.2.5,59.95689098820169,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,268699,001,2023-02-23_11h25.13.684,sample,2022.2.5,59.95689098820169,
,,,,,,,,,102.29798199993093,102.29798199993093,space,9.986516200006008,,,,,,,,,,,,,268699,001,2023-02-23_11h25.13.684,sample,2022.2.5,59.95689098820169,
,,,,,,,,112.31469349993858,,,,,113.31506689998787,113.31506689998787,space,27.780407699989155,,,,,,,,,268699,001,2023-02-23_11h25.13.684,sample,2022.2.5,59.95689098820169,
,,,,,,,,,,,,,,,,,141.11508009990212,141.11508009990212,space,16.248574700090103,,,,,268699,001,2023-02-23_11h25.13.684,sample,2022.2.5,59.95689098820169,
,,,,,,,,,,,,,,,,,,,,,157.3813136999961,158.38104239990935,158.38104239990935,None,268699,001,2023-02-23_11h25.13.684,sample,2022.2.5,59.95689098820169,
