trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,start_scade_key_resp.started,start_scade_key_resp.keys,start_scade_key_resp.rt,corss_image.started,corss_image.stopped,txt.started,start_smoth_keybrd.started,start_smoth_keybrd.keys,start_smoth_keybrd.rt,tr_smooth_key_smooth_resp_.started,tr_smooth_key_smooth_resp_.keys,tr_smooth_key_smooth_resp_.rt,start_circleM.started,start_circle_keyboard.started,start_circle_keyboard.keys,start_circle_keyboard.rt,cross_img_circle.started,cross_img_circle.stopped,tr_circ_resp_keyboard.started,tr_circ_resp_keyboard.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,40.97275680000894,40.97275680000894,space,12.33452999999281,,,,,,,,,,,,,,,,,,qasim,001,2023-02-23_11h22.54.214,sample,2022.2.5,59.96106131138359,
0,0,0,0,,,,,53.33945169998333,54.33985450002365,,,,,,,,,,,,,,,,qasim,001,2023-02-23_11h22.54.214,sample,2022.2.5,59.96106131138359,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,qasim,001,2023-02-23_11h22.54.214,sample,2022.2.5,59.96106131138359,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,qasim,001,2023-02-23_11h22.54.214,sample,2022.2.5,59.96106131138359,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,qasim,001,2023-02-23_11h22.54.214,sample,2022.2.5,59.96106131138359,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,qasim,001,2023-02-23_11h22.54.214,sample,2022.2.5,59.96106131138359,
,,,,,,,,,,56.83925650001038,56.83925650001038,space,8.335753499995917,,,,,,,,,,,,qasim,001,2023-02-23_11h22.54.214,sample,2022.2.5,59.96106131138359,
,,,,,,,,65.20637889998034,66.20617840008345,,,,,66.20617840008345,space,41.024035599897616,,,,,,,,,qasim,001,2023-02-23_11h22.54.214,sample,2022.2.5,59.96106131138359,
,,,,,,,,,,,,,,,,,107.25652150006499,107.25652150006499,space,15.24315969995223,,,,,qasim,001,2023-02-23_11h22.54.214,sample,2022.2.5,59.96106131138359,
,,,,,,,,,,,,,,,,,,,,,122.5227642999962,123.52261960005853,123.52261960005853,None,qasim,001,2023-02-23_11h22.54.214,sample,2022.2.5,59.96106131138359,
